name;mean;sd;Last;Repeat
SES TEMPERATURE TARGET;19.8;0.4;0.7909;0.0309
FEG CO2 TARGET;802.87;363.34;0.8565;0.0333
FEG TEMPERATURE TARGET;20.6;0.76;0.8259;0.0383
L4-3R RED;2019.39;1490.62;0.9375;0.0557
L4-3R BLUE;5061.44;3735.29;0.939;0.0558
L3-3L RED;2720.26;2230.75;0.8455;0.0573
L3-3R RED;27.2;22.31;0.8455;0.0573
NDS-OZONE GENERATOR;19.4;39.51;0.7274;0.06
L4-4R RED;2707.39;2215.87;0.8512;0.0606
L3-2R BLUE;5800.14;4163.69;0.9649;0.0623
L4-3L BLUE;5800.14;4163.69;0.9649;0.0623
R1-2R BLUE;3866.77;2775.79;0.9649;0.0623
R1-2L BLUE;3866.77;2775.79;0.9649;0.0623
R1-4R BLUE;3866.77;2775.79;0.9649;0.0623
R1-4L BLUE;3866.77;2775.79;0.9649;0.0623
R2-2R BLUE;386.68;277.58;0.9649;0.0623
R2-2L BLUE;3866.77;2775.79;0.9649;0.0623
R2-4R BLUE;3866.77;2775.79;0.9649;0.0623
R2-4L BLUE;3866.77;2775.79;0.9649;0.0623
R3-2/4R BLUE;6444.59;4626.33;0.9649;0.0623
R3-2/4L BLUE;6444.59;4626.33;0.9649;0.0623
L3-2R RED;23.2;16.65;0.9649;0.0623
L4-3L RED;2320.07;1665.46;0.9649;0.0623
R3-2/4R RED;6444.59;4626.33;0.9649;0.0623
R3-2/4L RED;6444.59;4626.33;0.9649;0.0623
R1-2R RED;1098.61;785.6;0.9637;0.0624
R1-2L RED;1098.61;785.6;0.9637;0.0624
R1-4R RED;1098.61;785.6;0.9637;0.0624
R1-4L RED;1098.61;785.6;0.9637;0.0624
R2-2R RED;1098.61;785.6;0.9637;0.0624
R2-2L RED;1098.61;785.6;0.9637;0.0624
R2-4R RED;1098.61;785.6;0.9637;0.0624
R2-4L RED;1098.61;785.6;0.9637;0.0624
L2-1L BLUE;5799.95;4163.75;0.9649;0.0624
L2-1R BLUE;5799.95;4163.75;0.9649;0.0624
L2-2L BLUE;5799.95;4163.75;0.9649;0.0624
L2-2R BLUE;5799.95;4163.75;0.9649;0.0624
L3-4L BLUE;5799.95;4163.75;0.9649;0.0624
L4-1L BLUE;5799.95;4163.75;0.9649;0.0624
L4-1R BLUE;5799.95;4163.75;0.9649;0.0624
L4-2L BLUE;5799.95;4163.75;0.9649;0.0624
L4-2R BLUE;5799.95;4163.75;0.9649;0.0624
L2-1L RED;2319.99;1665.48;0.9649;0.0624
L2-1R RED;2319.99;1665.48;0.9649;0.0624
L2-2L RED;2319.99;1665.48;0.9649;0.0624
L2-2R RED;2319.99;1665.48;0.9649;0.0624
L3-4L RED;2319.99;1665.48;0.9649;0.0624
L4-1L RED;2319.99;1665.48;0.9649;0.0624
L4-1R RED;2319.99;1665.48;0.9649;0.0624
L4-2L RED;2319.99;1665.48;0.9649;0.0624
L4-2R RED;2319.99;1665.48;0.9649;0.0624
L3-3L BLUE;5911.13;4254.04;0.9626;0.0626
L3-3R BLUE;5911.13;4254.04;0.9626;0.0626
L4-4R BLUE;5907.73;4251.15;0.9633;0.063
L4-4L BLUE;5862.32;4214.73;0.9642;0.0636
L3-1L BLUE;6394.58;4595.46;0.9646;0.0636
L3-1R BLUE;6394.56;4595.44;0.9646;0.0636
L1-2L FAR RED;6980.44;4589.58;0.8941;0.0641
