SampleNumber;Date;Time;TCS COOL 1:EXT HS IN;TCS COOL 2:INT HSOUT;TCS COOL 3:I&L HS IN;TCS COOL 4:AMS HS IN;TCS COOL 5:AMS OUT;TCS COOL 6:AMS IN;TCS COOL 7:ISPR OUT;TCS COOL 8:ISPR IN;TCS COOL 9:LED OUT;TCS COOL 10:LED IN;TCS TEMP OUT EXIT; TCS PRESSURE 1:FREE;TCS PRESSURE 2:ISPR;TCS PRESSURE 3:LED;TCS PRESSURE 4:AMS;TCS COOL 11:FREE IN;TCS COOL 12:FREE OUT;TCS TEMP RADIATOR;TCS TEMP OUT WINDOW; TCS-COOL VALVE 1:FREE Current Timed Position; TCS-COOL VALVE 2:ISPR Current Timed Position; TCS-COOL VALVE 3:LED Current Timed Position; TCS-COOL VALVE 4:AMS Current Timed Position;TCS-COOLING PUMP RELAY;TCS-FREE COOLER
1925; 7/02/2018;17:23:17;129;226;588;325;1052;912;1669;1682;2312;1984;785;    1.2;    1.1;    1.2;    1.2;523;194;-196;833;  42.50;  62.00;  59.00;  63.40;100;100
1926; 8/02/2018;13:18:17;-29;114;529;171;  13.03;   8.90;1760;1573;2301;1997;36;    1.2;    1.1;    1.2;    1.2;374;35;-342;257;  72.25;  76.65;  59.75;  19.40;100;100
1927; 8/02/2018;14:38:17;6;255;561;416;  12.09;   8.69;1796;1515;2298;1984;177;    1.2;    1.1;    1.2;    1.2;404;73;-312;527;  38.25;  58.30;  59.50;  72.05;100;100
1928; 9/02/2018; 9:38:17;-126;151;553;213;   8.85;   6.36;1713;1709;2292;1995;-87;    1.2;    1.1;    1.2;    1.1;403;-66;-440;-6;  64.40;  45.00;  60.75;  29.45;100;100
1929; 9/02/2018;14:48:17;-4;168;507;233;  13.53;   8.74;1697;1707;2276;2022;210;    1.2;    1.1;    1.2;    1.2;330;53;-323;451;  60.40;  51.00;  46.75;  39.90;100;100
1930; 9/02/2018;14:58:17;-8;271;565;562;  11.45;  10.09;1681;1712;2292;1971;211;    1.2;    1.1;    1.2;    1.2;407;47;-341;442;  28.30;  49.50;  46.50;  56.90;100;100
1931; 9/02/2018;15:18:17;1;230;572;340;  10.93;  10.02;1716;1578;2284;2023;202;    1.2;    1.1;    1.2;    1.2;416;57;-324;461;  38.35; 100.00;  46.25;  40.40;100;100
1932; 9/02/2018;16:08:17;28;266;573;436;1184;1034;1711;1717;2319;1961;   5.85;    1.2;    1.1;    1.2;    1.2;438;83;  -2.97;   6.31;  31.00;  48.50;  59.00;  44.45;100;100
1933; 9/02/2018;16:43:17;66;238;572;374;1287;912;1711;1720;2320;1973;   3.20;    1.2;    1.1;    1.2;    1.2;454;119;  -2.46;   9.36;  39.10;  43.50;  58.50;  65.55;100;100
1934; 9/02/2018;20:38:17;-426;258;478;479;1085;982;1731;1738;2316;1947;  -5.56;    1.2;    1.1;    1.1;    1.2;237;-364;  -7.96;  -3.16;  40.15;  38.00;  59.75;  79.05;100;100
1935; 9/02/2018;20:58:17;-461;49;431;144;1022;906;1712;1694;2285;2021;  -6.24;    1.2;    1.1;    1.1;    1.2;158;-400;  -8.26;  -4.06;  91.00;  48.00;  47.25;  90.15;100;100
1936; 9/02/2018;23:48:17;-823;-264;389;-197;1256;535;1731;1705;2302;1999; -11.38;    1.1;    1.1;    1.2;    1.1;38;-752; -12.18; -10.30;  81.80;  41.00;  59.75;  41.45;100;100
1937;10.02.2018; 1:13:17;  -9.88;   0.10;   3.51;   0.78;  11.09;  10.21;  17.08;  16.85;  20.41;  19.49; -12.79;    1.1;    1.1;    1.1;    1.1;   2.27;  -9.07; -14.11; -11.07; 100.00;  49.00;  61.50;  74.75;100;100
